Model year,Make,Model,Vehicle class,Motor (kW),Transmission,Fuel type,City (kWh/100 km),Highway (kWh/100 km),Combined (kWh/100 km),City (Le/100 km),Highway (Le/100 km),Combined (Le/100 km),Range (km),Recharge time (h),Energy Efficiency (km/kWh),City Efficiency (km/kWh),Highway Efficiency (km/kWh),power_efficiency_ratio,City_power_efficiency_ratio,Highway_power_efficiency_ratio,charging_speed
2020,Nissan,LEAF S PLUS,Mid-size,160,A1,B,17.8,21.5,19.5,2.0,2.4,2.2,363,11.0,5.128205128205129,5.617977528089887,4.651162790697675,31.199999999999996,28.480000000000004,34.4,33.0
2020,Nissan,LEAF SV/SL PLUS,Mid-size,160,A1,B,18.3,22.1,20.0,2.1,2.5,2.2,349,11.0,5.0,5.46448087431694,4.524886877828054,32.0,29.28,35.36,31.727272727272727
2020,Porsche,Taycan 4S (Performance Battery Plus),Compact,360,A2,B,30.9,29.6,30.3,3.5,3.3,3.4,327,10.5,3.3003300330033003,3.236245954692557,3.378378378378378,109.08,111.24,106.56000000000002,31.142857142857142
2020,Porsche,Taycan Turbo,Compact,460,A2,B,30.9,29.5,30.2,3.5,3.3,3.4,323,10.0,3.3112582781456954,3.236245954692557,3.389830508474576,138.92,142.14,135.70000000000002,32.3
2020,Porsche,Taycan Turbo S,Compact,460,A2,B,31.3,30.7,31.0,3.5,3.4,3.5,309,10.5,3.225806451612903,3.1948881789137378,3.257328990228013,142.60000000000002,143.98000000000002,141.22,29.428571428571427
2020,Tesla,Model 3 Standard Range,Mid-size,211,A1,B,14.8,16.5,15.6,1.7,1.9,1.7,151,3.7,6.410256410256411,6.756756756756756,6.0606060606060606,32.916,31.228,34.815,40.81081081081081
2020,Tesla,Model 3 Standard Range Plus,Mid-size,211,A1,B,14.1,15.9,14.9,1.6,1.8,1.7,402,8.5,6.7114093959731544,7.092198581560284,6.289308176100628,31.439,29.750999999999998,33.549,47.294117647058826
2020,Tesla,Model 3 Mid Range,Mid-size,211,A1,B,16.4,17.9,17.1,1.8,2.0,1.9,425,10.0,5.847953216374268,6.097560975609756,5.5865921787709505,36.081,34.604,37.769,42.5
2020,Tesla,Model 3 Long Range,Mid-size,211,A1,B,15.3,17.0,16.1,1.7,1.9,1.8,531,10.0,6.211180124223602,6.5359477124183005,5.882352941176471,33.971000000000004,32.283,35.87,53.1
2020,Tesla,Model 3 Long Range AWD,Mid-size,335,A1,B,16.9,18.0,17.4,1.9,2.0,2.0,518,10.0,5.74712643678161,5.91715976331361,5.555555555555555,58.28999999999999,56.61499999999999,60.300000000000004,51.8
2020,Tesla,"Model 3 Long Range AWD Performance (18"" Wheels)",Mid-size,358,A1,B,16.9,18.0,17.4,1.9,2.0,2.0,518,10.0,5.74712643678161,5.91715976331361,5.555555555555555,62.291999999999994,60.50199999999999,64.44,51.8
2020,Tesla,"Model 3 Long Range AWD Performance (19"" Wheels)",Mid-size,358,A1,B,17.6,18.7,18.1,2.0,2.1,2.0,489,10.0,5.524861878453038,5.681818181818182,5.347593582887701,64.79800000000002,63.008,66.946,48.9
2020,Tesla,"Model 3 Long Range AWD Performance (20"" Wheels)",Mid-size,358,A1,B,17.8,19.6,18.6,2.0,2.2,2.1,481,10.0,5.376344086021505,5.617977528089887,5.1020408163265305,66.58800000000001,63.724000000000004,70.168,48.1
2020,Tesla,Model S Standard Range,Full-size,398,A1,B,18.5,20.0,19.2,2.1,2.2,2.2,462,9.0,5.208333333333334,5.405405405405405,5.0,76.416,73.63,79.6,51.333333333333336
2020,Tesla,Model S Long Range,Full-size,398,A1,B,18.2,19.5,18.8,2.0,2.2,2.1,600,12.0,5.319148936170213,5.4945054945054945,5.128205128205129,74.824,72.43599999999999,77.61,50.0
2020,Tesla,Model S Long Range Plus (pre-15/6/20),Full-size,398,A1,B,17.2,18.9,18.0,1.9,2.1,2.0,629,12.0,5.555555555555555,5.813953488372094,5.291005291005291,71.64,68.45599999999999,75.222,52.416666666666664
2020,Tesla,Model S Long Range Plus,Full-size,398,A1,B,17.3,18.8,17.9,1.9,2.1,2.0,647,12.0,5.5865921787709505,5.780346820809248,5.319148936170213,71.24199999999999,68.85400000000001,74.824,53.916666666666664
2020,Tesla,"Model S Performance (19"" Wheels)",Full-size,580,A1,B,20.1,20.2,20.2,2.3,2.3,2.3,560,12.0,4.9504950495049505,4.975124378109452,4.9504950495049505,117.16,116.58000000000001,117.16,46.666666666666664
2020,Tesla,"Model S Performance (21"" Wheels)",Full-size,580,A1,B,21.3,21.9,21.6,2.4,2.5,2.4,525,12.0,4.62962962962963,4.694835680751174,4.566210045662101,125.28,123.53999999999999,127.02,43.75
2020,Tesla,Model X Standard Range,Sport utility vehicle: Standard,398,A1,B,20.0,21.5,20.7,2.2,2.4,2.3,415,9.0,4.830917874396135,5.0,4.651162790697675,82.386,79.6,85.57,46.111111111111114
2020,Tesla,Model X Long Range,Sport utility vehicle: Standard,398,A1,B,21.2,22.5,21.8,2.4,2.5,2.4,528,12.0,4.587155963302752,4.716981132075472,4.444444444444445,86.764,84.37599999999999,89.55,44.0
2020,Tesla,Model X Long Range Plus,Sport utility vehicle: Standard,398,A1,B,19.3,20.8,20.0,2.2,2.3,2.2,565,12.0,5.0,5.181347150259067,4.8076923076923075,79.6,76.81400000000001,82.784,47.083333333333336
2020,Tesla,"Model X Performance (20"" Wheels)",Sport utility vehicle: Standard,580,A1,B,23.2,23.5,23.3,2.6,2.6,2.6,491,12.0,4.291845493562231,4.310344827586207,4.25531914893617,135.14000000000001,134.55999999999997,136.3,40.916666666666664
2020,Tesla,"Model X Performance (22"" Wheels)",Sport utility vehicle: Standard,580,A1,B,26.2,27.1,26.6,2.9,3.0,3.0,438,12.0,3.7593984962406015,3.816793893129771,3.6900369003690034,154.28,151.96,157.18,36.5
2020,Tesla,Model Y Long Range AWD,Sport utility vehicle: Small,358,A1,B,16.5,18.3,17.3,1.9,2.1,1.9,509,10.0,5.780346820809248,6.0606060606060606,5.46448087431694,61.934000000000005,59.07,65.514,50.9
2020,Tesla,Model Y Performance,Sport utility vehicle: Small,358,A1,B,16.3,18.7,17.4,1.8,2.1,2.0,507,10.0,5.74712643678161,6.134969325153374,5.347593582887701,62.291999999999994,58.354,66.946,50.7
